id;catalogNumber;recordedBy;eventdate;higherGeography;eventRemarks;preparations
578;MPEG.ANL 000303;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
579;MPEG.ANL 000350;Ditadi, A.S.F.;22/04/1983;Mato Grosso;;Etanol - 13
580;MPEG.ANL 000310;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
581;MPEG.ANL 000322;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";18/05/2015;Maranhão, Alcântara;;Etanol - 1
582;MPEG.ANL 000308;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 2
583;MPEG.ANL 000330;"dos Santos, R.; Rousseau, Guillaume";01/06/2010;Maranhão, Alcântara;;Etanol - 2
584;MPEG.ANL 000313;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 2
585;MPEG.ANL 000319;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
586;MPEG.ANL 000311;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 2
587;MPEG.ANL 000304;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 2
588;MPEG.ANL 000318;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";22/03/2015;Maranhão, Centro Novo;;Etanol - 1
589;MPEG.ANL 000276;"Santos, B.; , Equipe";03/07/2014;Pará, Nova Timboteua;;Etanol - 1
590;MPEG.ANL 000295;"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R.";18/05/2015;Maranhão, Alcântara;;Etanol - 2
