id;catalogNumber;recordedBy;eventdate;higherGeography;eventRemarks;preparations
192;MPEG.ANL 001089;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
193;MPEG.ANL 001117;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
194;MPEG.ANL 001598;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
195;MPEG.ANL 001091;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
196;MPEG.ANL 001081;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 35
197;MPEG.ANL 001156;"Santos, C.; Amado, L. L.";10/01/2012;Paraná, Pontal do Paraná;;EtOH - 1
198;MPEG.ANL 000610;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 13
199;MPEG.ANL 000703;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
200;MPEG.ANL 001660;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
201;MPEG.ANL 001614;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
202;MPEG.ANL 001130;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
203;MPEG.ANL 001627;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
204;MPEG.ANL 000704;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
205;MPEG.ANL 001582;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
206;MPEG.ANL 000612;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 4
207;MPEG.ANL 001038;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 6
208;MPEG.ANL 001648;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
209;MPEG.ANL 001577;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Alcântara;;Etanol - 1
210;MPEG.ANL 000720;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 3
211;MPEG.ANL 001007;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
212;MPEG.ANL 000661;"Almeida, Mayk ; Rosa Filho, José";01/04/2003;Pará, Bragança;"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio";Líquido - 1
213;MPEG.ANL 000705;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
214;MPEG.ANL 001126;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
215;MPEG.ANL 001073;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
216;MPEG.ANL 001080;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
217;MPEG.ANL 001612;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
218;MPEG.ANL 001027;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 76
219;MPEG.ANL 001619;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
220;MPEG.ANL 001650;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 5
221;MPEG.ANL 001603;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
222;MPEG.ANL 001017;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
223;MPEG.ANL 000586;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 29
224;MPEG.ANL 000710;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
225;MPEG.ANL 001618;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
226;MPEG.ANL 001602;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
227;MPEG.ANL 001023;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 9
228;MPEG.ANL 000593;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 4
229;MPEG.ANL 001621;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
230;MPEG.ANL 001646;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 2
231;MPEG.ANL 001586;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
232;MPEG.ANL 001578;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Alcântara;;Etanol - 1
233;MPEG.ANL 000646;"Silva, Roseanne; Rosa Filho, José";01/01/2005;Pará, Curuçá;"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio";Líquido - 1
234;MPEG.ANL 000742;"Braga, Cesar; Ferreira, Viviane";01/11/2007;Pará, Curuçá;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
235;MPEG.ANL 001587;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Bom Jesus;;Etanol - 1
236;MPEG.ANL 001620;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
237;MPEG.ANL 000606;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
238;MPEG.ANL 001063;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
239;MPEG.ANL 000662;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
240;MPEG.ANL 001127;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 7
241;MPEG.ANL 001072;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
242;MPEG.ANL 001025;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 6
243;MPEG.ANL 000647;"Silva, Roseanne; Rosa Filho, José";01/01/2005;Pará, Curuçá;"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio";Líquido - 1
244;MPEG.ANL 001028;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 10
245;MPEG.ANL 001111;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 11
246;MPEG.ANL 000605;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
247;MPEG.ANL 001100;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
248;MPEG.ANL 001559;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";04/06/2017;Maranhão, São Luís;;Etanol - 1
249;MPEG.ANL 001123;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
250;MPEG.ANL 000598;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
251;MPEG.ANL 001076;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
252;MPEG.ANL 001659;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 3
253;MPEG.ANL 001633;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
254;MPEG.ANL 001099;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 6
255;MPEG.ANL 001599;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
256;MPEG.ANL 000604;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 10
257;MPEG.ANL 000587;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
258;MPEG.ANL 001014;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
259;MPEG.ANL 001128;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
260;MPEG.ANL 001125;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
261;MPEG.ANL 000727;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
262;MPEG.ANL 000709;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Salinópolis;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
263;MPEG.ANL 001558;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";04/06/2017;Maranhão, São Luís;;Etanol - 1
264;MPEG.ANL 000711;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
265;MPEG.ANL 001641;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
266;MPEG.ANL 001019;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 10
267;MPEG.ANL 000712;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
268;MPEG.ANL 001121;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
269;MPEG.ANL 001560;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";04/06/2017;Maranhão, São Luís;;Etanol - 1
270;MPEG.ANL 001580;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Alcântara;;Etanol - 1
271;MPEG.ANL 000584;"Braga, Cesar; Ferreira, Viviane";01/04/2009;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 17
272;MPEG.ANL 001600;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
273;MPEG.ANL 001105;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 5
274;MPEG.ANL 001011;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 12
275;MPEG.ANL 000708;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
276;MPEG.ANL 001058;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 13
277;MPEG.ANL 001636;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
278;MPEG.ANL 000627;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
279;MPEG.ANL 001047;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
280;MPEG.ANL 001108;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 59
281;MPEG.ANL 001020;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
282;MPEG.ANL 000715;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
283;MPEG.ANL 001002;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 11
284;MPEG.ANL 001119;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
285;MPEG.ANL 001632;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 2
286;MPEG.ANL 000629;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
287;MPEG.ANL 001564;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/07/2011;Maranhão, Tomé-Açu;;Etanol - 1
288;MPEG.ANL 000626;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 5
289;MPEG.ANL 001057;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
290;MPEG.ANL 001060;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 7
291;MPEG.ANL 000620;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
292;MPEG.ANL 001013;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
293;MPEG.ANL 001573;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, São José de Ribamar;;Etanol - 1
294;MPEG.ANL 000726;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 4
295;MPEG.ANL 000615;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Marapanim;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 1
296;MPEG.ANL 001591;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Bom Jesus;;Etanol - 1
297;MPEG.ANL 001643;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
298;MPEG.ANL 000592;"Braga, Cesar; Ferreira, Viviane";01/04/2009;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
299;MPEG.ANL 001067;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
300;MPEG.ANL 001122;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 24
301;MPEG.ANL 001138;Muniz, Mairink;04/09/2016;Pará;Amazôna Azul;EtOH - 1
302;MPEG.ANL 001046;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
303;MPEG.ANL 001657;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 13
304;MPEG.ANL 001604;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
305;MPEG.ANL 001124;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 5
306;MPEG.ANL 001082;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 6
307;MPEG.ANL 001024;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 20
308;MPEG.ANL 000614;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Maracanã;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 3
309;MPEG.ANL 001079;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 2
310;MPEG.ANL 001616;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
311;MPEG.ANL 001141;Muniz, Mairink;23/02/2017;Pará;Amazôna Azul;EtOH - 1
312;MPEG.ANL 001040;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 4
313;MPEG.ANL 001588;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Bom Jesus;;Etanol - 1
314;MPEG.ANL 000602;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 2
315;MPEG.ANL 001601;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
316;MPEG.ANL 001565;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Alcântara;;Etanol - 1
317;MPEG.ANL 001594;"Sousa, Sandriel; Hernández, Luis; Rousseau, Guillaume";15/08/2018;Maranhão, São Luís;;Etanol - 1
318;MPEG.ANL 000590;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 38
319;MPEG.ANL 000585;"Braga, Cesar; Ferreira, Viviane";01/11/2008;Pará, Bragança;Material doado Laboratório de Oceanografia Biológica/UFPA;Líquido - 5
320;MPEG.ANL 001579;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Alcântara;;Etanol - 1
321;MPEG.ANL 001639;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 1
322;MPEG.ANL 001129;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
323;MPEG.ANL 001626;"Sousa, Anny; Sousa, Sandriel; Hernández, Luis";12/02/2019;Maranhão, Caxias;;Etanol - 3
324;MPEG.ANL 001576;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, São José de Ribamar;;Etanol - 1
325;MPEG.ANL 001086;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 1
326;MPEG.ANL 001575;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, São José de Ribamar;;Etanol - 1
327;MPEG.ANL 001583;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
328;MPEG.ANL 001134;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 3
329;MPEG.ANL 001131;"Beckman, Ruana; Pena, José; Souza, Raíssa";30/08/2017;Pará, Belém;;Etanol - 6
330;MPEG.ANL 001590;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Bom Jesus;;Etanol - 1
331;MPEG.ANL 001584;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, Itinga do Maranhão;;Etanol - 1
332;MPEG.ANL 001574;"Hernández, Luis; Rousseau, Guillaume; Sousa, Sandriel";15/04/2017;Maranhão, São José de Ribamar;;Etanol - 1
333;MPEG.ANL 000575;Cherniski, D.;08/01/2018;Pará, Vera Cruz;;EtOH - 1
334;MPEG.ANL 000573;Cherniski, D.;17/01/2018;Pará, Baião;;EtOH - 1
335;MPEG.ANL 000555;Cherniski, D.;09/01/2018;Pará, Itupiranga;;EtOH - 4
336;MPEG.ANL 000577;Cherniski, D.;09/01/2018;Pará, Itupiranga;;EtOH - 1
337;MPEG.ANL 000570;Cunha;01/01/1956;Pará, São João de Pirabas;;EtOH - 2
338;MPEG.ANL 000559;Cherniski, D.;16/01/2018;Pará, Baião;;EtOH - 1
339;MPEG.ANL 000549;Cherniski, D.;11/01/2018;Pará, Marabá;;EtOH - 17
340;MPEG.ANL 000563;Cherniski, D.;18/01/2018;Pará, Baião;;EtOH - 1
341;MPEG.ANL 000562;Cherniski, D.;17/01/2018;Pará, Baião;;EtOH - 1
342;MPEG.ANL 000561;Cherniski, D.;19/01/2018;Pará, Baião;;EtOH - 1
343;MPEG.ANL 000581;Bueno, Paulo;;Pará, Conceição do Araguaia;;EtOH - 2
344;MPEG.ANL 000535;Cherniski, D.;28/08/2017;Pará, Baião;;EtOH - 2
345;MPEG.ANL 000534;Cherniski, D.;25/08/2017;Pará, Baião;;EtOH - 1
346;MPEG.ANL 000558;Cherniski, D.;16/01/2018;Pará, Baião;;EtOH - 1
347;MPEG.ANL 000552;Cherniski, D.;09/01/2018;Pará, Itupiranga;;EtOH - 1
348;MPEG.ANL 000569;Cherniski, D.;19/01/2018;Pará, Baião;;EtOH - 2
349;MPEG.ANL 000538;Cherniski, D.;30/08/2017;Pará, Baião;;EtOH - 4
350;MPEG.ANL 000539;Kinispel, S.;19/12/2000;Pará, Vitória do Xingú;Terra firme, margem direita do rio Xingú, pitfall - pequenos mamíferos;EtOH - 1
351;MPEG.ANL 000571;Cherniski, D.;14/01/2018;Pará, Tucuruí;;EtOH - 2
352;MPEG.ANL 000572;Cherniski, D.;07/01/2018;Pará, Vila Nova do Pará;;EtOH - 4
353;MPEG.ANL 000578;Cherniski, D.;11/01/2018;Pará, Marabá;;EtOH - 2
354;MPEG.ANL 000568;Cherniski, D.;17/01/2018;Pará, Baião;;EtOH - 1
355;MPEG.ANL 000556;Cherniski, D.;15/01/2018;Pará, Tucuruí;;EtOH - 1
356;MPEG.ANL 000514;Cherniski, D.;04/09/2017;Pará, Itupiranga;;EtOH - 50
357;MPEG.ANL 000574;Cherniski, D.;14/01/2018;Pará, Tucuruí;;EtOH - 2
358;MPEG.ANL 000557;Cherniski, D.;15/01/2018;Pará, Breu Branco;;EtOH - 1
359;MPEG.ANL 000536;Cherniski, D.;28/08/2017;Pará, Baião;;EtOH - 10
360;MPEG.ANL 000521;Cherniski, D.;01/09/2017;Pará, Jacundá;;EtOH - 23
361;MPEG.ANL 000531;Cherniski, D.;24/08/2017;Pará, Baião;;EtOH - 6
362;MPEG.ANL 000529;Cherniski, D.;24/08/2017;Pará, Baião;;EtOH - 2
363;MPEG.ANL 000566;Cherniski, D.;18/01/2018;Pará, Baião;;EtOH - 1
364;MPEG.ANL 000493;"Beckman, Ruana; Pena, José; Souza, Raíssa";24/01/2018;Pará, Belém;;Etanol - 3
365;MPEG.ANL 000548;Cherniski, D.;11/01/2018;Pará, Marabá;;EtOH - 39
366;MPEG.ANL 000541;Cherniski, D.;29/08/2017;Pará, Baião;;EtOH - 30
367;MPEG.ANL 000540;Cherniski, D.;30/08/2017;Pará, Baião;;EtOH - 8
368;MPEG.ANL 000515;Cherniski, D.;04/09/2017;Pará, Vila Nova do Pará;;EtOH - 10
