id;taxonRank;taxonomicStatus;publishingCountry;hasCoordinate;hasGeospatialIssues
640;SPECIES;ACCEPTED;BR;TRUE;FALSE
641;GENUS;DOUBTFUL;BR;TRUE;FALSE
642;GENUS;DOUBTFUL;BR;TRUE;FALSE
643;GENUS;DOUBTFUL;BR;TRUE;FALSE
644;GENUS;DOUBTFUL;BR;TRUE;FALSE
645;KINGDOM;;BR;TRUE;FALSE
646;SPECIES;ACCEPTED;BR;TRUE;FALSE
647;SPECIES;ACCEPTED;BR;TRUE;FALSE
648;GENUS;ACCEPTED;BR;TRUE;FALSE
649;GENUS;ACCEPTED;BR;TRUE;FALSE
650;GENUS;DOUBTFUL;BR;TRUE;FALSE
651;SPECIES;ACCEPTED;BR;TRUE;FALSE
652;GENUS;ACCEPTED;BR;TRUE;FALSE
653;SPECIES;ACCEPTED;BR;TRUE;FALSE
654;GENUS;DOUBTFUL;BR;TRUE;FALSE
655;GENUS;DOUBTFUL;BR;TRUE;FALSE
656;GENUS;DOUBTFUL;BR;TRUE;FALSE
657;SPECIES;ACCEPTED;BR;TRUE;FALSE
658;SPECIES;ACCEPTED;BR;TRUE;FALSE
659;GENUS;DOUBTFUL;BR;TRUE;FALSE
660;SPECIES;ACCEPTED;BR;TRUE;FALSE
661;SPECIES;ACCEPTED;BR;TRUE;FALSE
662;GENUS;ACCEPTED;BR;TRUE;FALSE
663;GENUS;DOUBTFUL;BR;TRUE;FALSE
664;SPECIES;ACCEPTED;BR;TRUE;FALSE
665;KINGDOM;;BR;FALSE;FALSE
666;GENUS;DOUBTFUL;BR;TRUE;FALSE
667;KINGDOM;;BR;TRUE;FALSE
668;KINGDOM;;BR;TRUE;FALSE
669;GENUS;DOUBTFUL;BR;TRUE;FALSE
670;GENUS;DOUBTFUL;BR;TRUE;FALSE
671;SPECIES;ACCEPTED;BR;TRUE;FALSE
672;GENUS;DOUBTFUL;BR;TRUE;FALSE
673;SPECIES;ACCEPTED;BR;TRUE;FALSE
674;KINGDOM;;BR;TRUE;FALSE
675;GENUS;DOUBTFUL;BR;TRUE;FALSE
676;GENUS;DOUBTFUL;BR;TRUE;FALSE
677;GENUS;DOUBTFUL;BR;TRUE;FALSE
678;GENUS;DOUBTFUL;BR;TRUE;FALSE
679;KINGDOM;;BR;TRUE;FALSE
680;KINGDOM;;BR;TRUE;FALSE
681;KINGDOM;;BR;TRUE;FALSE
682;SPECIES;ACCEPTED;BR;TRUE;FALSE
683;KINGDOM;;BR;TRUE;FALSE
684;GENUS;DOUBTFUL;BR;TRUE;FALSE
685;GENUS;ACCEPTED;BR;TRUE;FALSE
686;GENUS;DOUBTFUL;BR;TRUE;FALSE
687;GENUS;DOUBTFUL;BR;TRUE;FALSE
688;GENUS;ACCEPTED;BR;TRUE;FALSE
689;GENUS;ACCEPTED;BR;TRUE;FALSE
690;SPECIES;ACCEPTED;BR;TRUE;FALSE
691;GENUS;DOUBTFUL;BR;TRUE;FALSE
692;GENUS;ACCEPTED;BR;TRUE;FALSE
693;KINGDOM;;BR;TRUE;FALSE
694;GENUS;DOUBTFUL;BR;TRUE;FALSE
695;SPECIES;ACCEPTED;BR;TRUE;FALSE
696;SPECIES;ACCEPTED;BR;TRUE;FALSE
697;KINGDOM;;BR;FALSE;FALSE
698;KINGDOM;;BR;TRUE;FALSE
699;KINGDOM;;BR;TRUE;FALSE
700;GENUS;ACCEPTED;BR;TRUE;FALSE
701;GENUS;ACCEPTED;BR;TRUE;FALSE
702;SPECIES;ACCEPTED;BR;TRUE;FALSE
703;KINGDOM;;BR;TRUE;FALSE
704;GENUS;DOUBTFUL;BR;TRUE;FALSE
705;KINGDOM;;BR;TRUE;FALSE
